WNT vs WNT	SHH vs WNT	Group3 vs WNT	Group4 vs WNT	WNT vs SHH	SHH vs SHH	Group3 vs SHH	Group4 vs SHH	WNT vs Group3	SHH vs Group3	Group3 vs Group3	Group4 vs Group3	WNT vs Group4	SHH vs Group4	Group3 vs Group4	Group4 vs Group4
cg11033271	0	0	0	2810	0	0	0	2000	0	0	0	3620	-2810	-2000	-3620	0
cg06777844	0	-1860	-360	610	1860	0	520	1400	360	-520	0	1590	-610	-1400	-1590	0
cg26999775	0	-70	380	2290	70	0	600	2110	-380	-600	0	2220	-2290	-2110	-2220	0
cg19480385	0	10	0	2480	-10	0	0	2080	0	0	0	3320	-2480	-2080	-3320	0
cg17971290	0	170	1490	3690	-170	0	890	2810	-1490	-890	0	2590	-3690	-2810	-2590	0
cg03909356	0	100	2790	4600	-100	0	1590	4090	-2790	-1590	0	3780	-4600	-4090	-3780	0
cg02251393	0	0	40	2000	0	0	20	1509	-40	-20	0	2360	-2000	-1509	-2360	0
cg19115610	0	-2600	-1030	0	2600	0	160	1200	1030	-160	0	1170	0	-1200	-1170	0
cg03922345	0	590	0	-1700	-590	0	-380	-1900	0	380	0	-2400	1700	1900	2400	0
cg07706515	0	9	-29	-4700	-9	0	0	-4190	29	0	0	-5790	4700	4190	5790	0
cg06413196	0	0	-30	-5800	0	0	-20	-4500	30	20	0	-6080	5800	4500	6080	0
cg04596544	0	10	-9	-4209	-10	0	0	-4090	9	0	0	-4380	4209	4090	4380	0
cg05679609	0	0	-10	-4980	0	0	-1	-4309	10	1	0	-4620	4980	4309	4620	0
cg10816626	0	210	-10	-5090	-210	0	-100	-4290	10	100	0	-4900	5090	4290	4900	0
cg08173915	0	0	-30	-7200	0	0	-20	-6500	30	20	0	-7370	7200	6500	7370	0
cg00301660	0	100	-20	-5000	-100	0	-20	-4200	20	20	0	-5350	5000	4200	5350	0
cg05863683	0	-1051	-2010	-6600	1051	0	-30	-5400	2010	30	0	-6190	6600	5400	6190	0
cg23146346	0	0	-130	-7910	0	0	-310	-7680	130	310	0	-7810	7910	7680	7810	0
cg10113582	0	120	2321	0	-120	0	1390	0	-2321	-1390	0	-2110	0	0	2110	0
cg10611331	0	-10	850	0	10	0	1090	0	-850	-1090	0	-520	0	0	520	0
cg12565585	0	-60	2590	0	60	0	1190	0	-2590	-1190	0	-2421	0	0	2421	0
cg24437293	0	-70	1170	0	70	0	1400	10	-1170	-1400	0	-1290	0	-10	1290	0
cg23005885	0	600	1600	0	-600	0	170	0	-1600	-170	0	-500	0	0	500	0
cg16953816	0	-170	319	-271	170	0	1250	-20	-319	-1250	0	-2330	271	20	2330	0
cg26939946	0	0	1052	0	0	0	1600	0	-1052	-1600	0	-900	0	0	900	0
cg15613991	0	10	1980	10	-10	0	1910	20	-1980	-1910	0	-1680	-10	-20	1680	0
cg08233811	0	10	1200	0	-10	0	1400	0	-1200	-1400	0	-1200	0	0	1200	0
cg16085649	0	-10	100	-90	10	0	690	10	-100	-690	0	-290	90	-10	290	0
cg02951739	0	-10	-3040	0	10	0	-1960	0	3040	1960	0	1980	0	0	-1980	0
cg08326879	0	10	-4589	0	-10	0	-4489	0	4589	4489	0	2420	0	0	-2420	0
cg18762674	0	957	-649	110	-957	0	-2100	-80	649	2100	0	910	-110	80	-910	0
cg07237979	0	10	-4620	0	-10	0	-5418	-90	4620	5418	0	1220	0	90	-1220	0
cg22259126	0	0	-5820	-30	0	0	-4988	-30	5820	4988	0	1170	30	30	-1170	0
cg25403635	0	921	-7510	-10	-921	0	-7980	-590	7510	7980	0	1800	10	590	-1800	0
cg02214470	0	780	-800	0	-780	0	-2900	0	800	2900	0	930	0	0	-930	0
cg03082523	0	0	-1818	-10	0	0	-600	0	1818	600	0	740	10	0	-740	0
cg18193764	0	5690	0	0	-5690	0	-4910	-2400	0	4910	0	0	0	2400	0	0
cg10959440	0	3209	-380	-200	-3209	0	-4310	-2790	380	4310	0	0	200	2790	0	0
cg00041084	0	4310	-10	0	-4310	0	-5680	-2700	10	5680	0	0	0	2700	0	0
cg16660971	0	-14140	0	0	14140	0	14680	9710	0	-14680	0	0	0	-9710	0	0
cg14511782	0	-11580	0	0	11580	0	10910	7800	0	-10910	0	19	0	-7800	-19	0
cg12925355	0	-12309	0	0	12309	0	12280	9390	0	-12280	0	0	0	-9390	0	0
cg13490403	0	-4627	-6700	-3700	4627	0	-20	-100	6700	20	0	10	3700	100	-10	0
cg24453580	0	-4781	-6020	-3100	4781	0	0	0	6020	0	0	0	3100	0	0	0
cg08957069	0	-4740	-7620	-3300	4740	0	0	0	7620	0	0	0	3300	0	0	0
cg25539045	0	-5690	-7030	-4300	5690	0	0	0	7030	0	0	0	4300	0	0	0
cg06644428	0	-6180	-8390	-3800	6180	0	0	0	8390	0	0	0	3800	0	0	0
cg02227036	0	12070	13430	9400	-12070	0	0	0	-13430	0	0	0	-9400	0	0	0
